Período,Código,Nome,UAO,CHT,CHP,CHD,CH Total,Elementos41,Níveis41,Elementos42,Níveis42
1,FAMAT31011,CÁLCULO DIFERENCIAL E INTEGRAL I,FAMAT,90,0,0,90,,,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita,Aplicação|Aplicação|Compreensão|Compreensão
1,?,FUNDAMENTOS DA COMPUTAÇÃO,FEELT,45,15,0,60,"Fundamentos de Programação|Fundamentos de Sistemas Computacionais|Estruturas de Dados, Algoritmos e Complexidade|Qualidade de Software, Verificação e Validação|Tecnologia e Implementação de Segurança|Sistemas Inteligentes (IA)",Aplicação|Aplicação|Aplicação|Compreensão|Compreensão|Compreensão,Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Falhas|Autonomia e Aprendizado Independente|Pesquisa e Aprendizado Independente|Colaboração e Trabalho em Equipe|Comunicação Oral e Apresentação,Aplicação|Compreensão|Aplicação|Aplicação|Aplicação|Compreensão
1,FAMAT31021,GEOMETRIA ANALÍTICA,FAMAT,60,0,0,60,,,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita,Aplicação|Aplicação|Aplicação|Compreensão
1,?,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,FEELT,30,0,0,30,Práticas Profissionais e Questões Sociais|Fundamentos de Sistemas Computacionais,Compreensão|Compreensão,Colaboração e Trabalho em Equipe|Comunicação Oral e Apresentação|Perspectivas Éticas e Interculturais,Aplicação|Aplicação|Compreensão
1,?,INTRODUÇÃO À PROTOTIPAGEM ELETRÔNICA,FEELT,0,30,0,30,Circuitos e Eletrônica|Fundamentos de Sistemas Computacionais|Fundamentos de Programação|Internet das Coisas (IoT),Compreensão|Compreensão|Compreensão|Compreensão,Pesquisa e Aprendizado Independente|Colaboração e Trabalho em Equipe|Resolução de Problemas e Solução de Erros|Comunicação Oral e Apresentação,Aplicação|Aplicação|Compreensão|Compreensão
1,?,LÓGICA E MATEMÁTICA DISCRETA PARA COMPUTAÇÃO,FEELT,45,0,0,45,Fundamentos de Sistemas Computacionais|Fundamentos de Programação|Complexidade,Compreensão|Compreensão|Compreensão,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita,Aplicação|Aplicação|Compreensão|Compreensão
2,?,ARTE DA PROGRAMAÇÃO I,FEELT,45,15,0,60,"Fundamentos de Programação|Linguagens de Programação|Estruturas de Dados, Algoritmos e Complexidade|Design de Software",Aplicação|Aplicação|Aplicação|Compreensão,Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros,Aplicação|Aplicação
2,?,COMPUTAÇÃO E SOCIEDADE,FEELT,30,0,0,30,Questões Sociais e Prática Profissional|Gestão de Dados e Informação,Avaliação|Compreensão,Pensamento Analítico e Crítico|Perspectivas Éticas e Interculturais|Comunicação Escrita|Comunicação Oral e Apresentação,Avaliação|Análise|Compreensão|Criação
2,FAMAT31012,CÁLCULO DIFERENCIAL E INTEGRAL II,FAMAT,90,0,0,90,,,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita,Aplicação|Aplicação|Aplicação|Compreensão
2,?,ESTRUTURA DE DADOS I,FEELT,45,0,0,45,Complexidade|Fundamentos de Sistemas Computacionais|Fundamentos de Programação,Aplicação|Compreensão|Aplicação,Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros,Análise|Aplicação
2,FEELT31410,EXPERIMENTAL DE SISTEMAS DIGITAIS,FEELT,0,30,0,30,Fundamentos de Sistemas Computacionais|Arquitetura e Infraestrutura de Sistemas,Aplicação|Aplicação,Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Colaboração e Trabalho em Equipe,Aplicação|Aplicação|Aplicação
2,INFIS39031,FÍSICA BÁSICA: MECÂNICA,INFIS,60,0,0,60,,,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita,Aplicação|Aplicação|Aplicação|Compreensão
2,FEELT31409,SISTEMAS DIGITAIS,FEELT,30,0,0,30,Fundamentos de Sistemas Computacionais|Arquitetura e Infraestrutura de Sistemas,Compreensão|Compreensão,Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros,Aplicação|Compreensão
2,FAMAT31022,ÁLGEBRA LINEAR,FAMAT,45,0,0,45,,,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita,Aplicação|Aplicação|Aplicação|Compreensão
3,?,ARTE DA PROGRAMAÇÃO II,FEELT,45,15,0,60,Fundamentos de Programação|Linguagens de Programação|Design de Software|Sistemas Operacionais,Aplicação|Aplicação|Aplicação|Compreensão,Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros,Aplicação|Aplicação
3,FAMAT31013,CÁLCULO DIFERENCIAL E INTEGRAL III,FAMAT,90,0,0,90,,,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita,Aplicação|Aplicação|Aplicação|Compreensão
3,?,ELEMENTOS DE SISTEMAS COMPUTACIONAIS: HARDWARE,FEELT,30,15,0,45,Circuitos e Eletrônica|Design Digital|Arquitetura e Organização|Fundamentos de Sistemas,Aplicação|Aplicação|Aplicação|Compreensão,Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros,Aplicação|Aplicação
3,?,ESTRUTURA DE DADOS II,FEELT,45,0,0,45,Complexidade,Aplicação,Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros,Avaliação|Aplicação
3,INFIS39033,FÍSICA BÁSICA: ELETRICIDADE E MAGNETISMO,INFIS,60,0,0,60,,,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita,Aplicação|Aplicação|Aplicação|Compreensão
3,INFIS31402,"FÍSICA BÁSICA: OSCILAÇÕES, ONDAS E ÓPTICA",INFIS,60,0,0,60,,,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita,Aplicação|Aplicação|Aplicação|Compreensão
3,FEELT31204,METROLOGIA,FEELT,30,30,0,60,Usuários e Organizações,Compreensão,Matemática e Estatística|Resolução de Problemas e Solução de Erros|Controle e Garantia de Qualidade,Aplicação|Aplicação|Aplicação
3,?,PROGRAMAÇÃO ORIENTADA A OBJETOS,FEELT,30,30,0,60,Fundamentos de Programação|Linguagens de Programação|Design de Software|Modelagem e Análise de Software|Qualidade de Software,Aplicação|Aplicação|Aplicação|Aplicação|Compreensão,Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros,Aplicação|Aplicação
4,?,ANÁLISE DE ALGORITMOS,FEELT,60,0,0,60,Complexidade,Criação,Matemática e Estatística|Pensamento Analítico e Crítico|Pesquisa e Aprendizado Independente|Comunicação Escrita,Aplicação|Avaliação|Aplicação|Aplicação
4,FEELT31408,BANCO DE DADOS,FEELT,30,15,0,45,Gestão de Dados e Informação|Modelagem e Análise de Software|Tecnologias de Plataforma|Sistemas e Serviços Virtuais,Aplicação|Aplicação|Aplicação|Compreensão,Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros,Aplicação|Aplicação
4,?,CIRCUITOS ELETRO-ELETRÔNICOS I,FEELT,45,15,0,60,Circuitos e Eletrônica|Processamento de Sinais,Aplicação|Aplicação,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros,Compreensão|Aplicação|Aplicação
4,?,ELEMENTOS DE SISTEMAS COMPUTACIONAIS: SOFTWARE,FEELT,30,15,0,45,Sistemas Operacionais|Linguagens de Programação|Design de Software|Fundamentos de Sistemas,Compreensão|Aplicação|Aplicação|Compreensão,Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros,Aplicação|Aplicação
4,FAMAT31033,ESTATÍSTICA,FAMAT,60,0,0,60,,,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita,Aplicação|Aplicação|Aplicação|Compreensão
4,FAMAT31031,MÉTODOS MATEMÁTICOS,FAMAT,75,0,0,75,,,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita,Aplicação|Aplicação|Aplicação|Compreensão
4,?,PROGRAMAÇÃO FUNCIONAL,FEELT,30,15,0,45,"Fundamentos de Programação|Linguagens de Programação|Estruturas de Dados, Algoritmos e Complexidade|Design de Software|Modelagem e Análise de Software|Qualidade de Software, Verificação e Validação",Aplicação|Aplicação|Aplicação|Aplicação|Compreensão|Compreensão,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros,Compreensão|Aplicação|Aplicação
5,?,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,FEELT,60,0,0,60,Arquitetura e Organização de Computadores,Aplicação,Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros,Análise|Análise
5,?,CIRCUITOS ELETRO-ELETRÔNICOS II,FEELT,45,15,0,60,Circuitos e Eletrônica|Processamento de Sinais,Aplicação|Aplicação,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros,Compreensão|Aplicação|Aplicação
5,FAMAT31033,CÁLCULO NUMÉRICO,FAMAT,60,0,0,60,,,Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita,Aplicação|Aplicação|Aplicação|Compreensão
5,?,ENGENHARIA DE SOFTWARE,FEELT,45,0,0,45,"Modelagem e Análise de Software|Qualidade de Software, Verificação e Validação|Processos de Software",Aplicação|Análise|Compreensão,Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Organização e Planejamento de Projetos e Tarefas,Análise|Aplicação|Avaliação
