Código,Nome,PER,PREQ,CREQ,FORM
FAMAT31022,ÁLGEBRA LINEAR,2,FAMAT31021,,B
FEELT!AA,ANÁLISE DE ALGORITMOS,5,FEELT!LMDC/FEELT!ED2,,T
FEELT!AOC,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,4,FEELT!ESCH,,T
FEELT!AP1,ARTE DA PROGRAMAÇÃO I,2,FEELT!FC,,T
FEELT!AP2,ARTE DA PROGRAMAÇÃO II,3,FEELT!AP1,,T
FEELT!ESCS,ELEMENTOS DE SISTEMAS COMPUTACIONAIS: SOFTWARE,4,FEELT!ESCH/FEELT!AP2,,T
FEELT!SO,SISTEMAS OPERACIONAIS,5,FEELT!AOC/FEELT!ESCS,,T
FEELT!BD,BANCO DE DADOS,4,FEELT!ED1,,T
FAMAT31011,CÁLCULO DIFERENCIAL E INTEGRAL I,1,,,B
FAMAT31012,CÁLCULO DIFERENCIAL E INTEGRAL II,2,FAMAT31011,,B
FAMAT31013,CÁLCULO DIFERENCIAL E INTEGRAL III,3,FAMAT31012,,B
FAMAT31032,CÁLCULO NUMÉRICO,5,FAMAT31013,,B
FAMAT31033,ESTATÍSTICA,5,FAMAT31013,,B
FAMAT31031,MÉTODOS MATEMÁTICOS,4,FAMAT31013,,B
FEELT!CEE1,CIRCUITOS ELETRO-ELETRÔNICOS I,4,INFIS39033,,T
FEELT!CEE2,CIRCUITOS ELETRO-ELETRÔNICOS II,5,FEELT!CEE1,,T
FEELT!CS,COMPUTAÇÃO E SOCIEDADE,2,,,H
FEELT!CEMB,COMPUTAÇÃO EMBARCADA,6,FEELT!AOC/FEELT!CEE2,,T
FADIR39801,DIREITO E LEGISLAÇÃO,6,,,H
FEELT!ESCH,ELEMENTOS DE SISTEMAS COMPUTACIONAIS: HARDWARE,3,FEELT31409,,T
FEELT!ESOF,ENGENHARIA DE SOFTWARE,5,FEELT!BD/FEELT!POO,,T
IERI39601,ENGENHARIA ECONÔMICA,8,,,T
FEELT!ED1,ESTRUTURA DE DADOS I,2,FEELT!FC,,T
FEELT!ED2,ESTRUTURA DE DADOS II,3,FEELT!ED1,,T
FEELT31409,SISTEMAS DIGITAIS,2,FEELT!LMDC,FEELT31410,T
FEELT31410,EXPERIMENTAL DE SISTEMAS DIGITAIS,2,FEELT!LMDC,FEELT31409,T
INFIS39033,FÍSICA BÁSICA: ELETRICIDADE E MAGNETISMO,3,INFIS39031,FEELT31204,B
INFIS39031,FÍSICA BÁSICA: MECÂNICA,2,FAMAT31011,,B
INFIS31402,"FÍSICA BÁSICA: OSCILAÇÕES, ONDAS E ÓPTICA",4,INFIS39033,,B
FEELT!FC,FUNDAMENTOS DA COMPUTAÇÃO,1,,,T
FAMAT31021,GEOMETRIA ANALÍTICA,1,,,B
FEELT!IIA,INTRODUÇÃO A INTELIGÊNCIA ARTIFICIAL,6,FAMAT31033/FAMAT31022,,T
FEELT!IEC,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,1,,,H
FEELT!IPE,INTRODUÇÃO À PROTOTIPAGEM ELETRÔNICA,1,,,T
FEELT!LMDC,LÓGICA E MATEMÁTICA DISCRETA PARA COMPUTAÇÃO,1,,,B
FEELT!PF,PROGRAMAÇÃO FUNCIONAL,4,FEELT!AP1,,T
FEELT!ISPD,INTRODUÇÃO A SISTEMAS PARALELOS E DISTRIBUÍDOS,6,FEELT!SO,FEELT31713,T
FEELT31204,METROLOGIA,3,,INFIS39033,B
FEELT!PW,PROGRAMAÇÃO WEB,5,FEELT!BD,,T
FEELT31628,PROCESSAMENTO DIGITAL DE SINAIS,6,FAMAT31031/FEELT!CEE2,,T
FEELT!POO,PROGRAMAÇÃO ORIENTADA A OBJETOS,3,FEELT!ED1,,T
FEELT31713,REDES INDUSTRIAIS PARA CONTROLE E AUTOMAÇÃO I,6,FEELT!SO,FEELT!ISPD,T
FEELT!PHFI,PROJETOS DE HARDWARE E FIRMWARE PARA IOT,7,FEELT!CEMB,,T
FEELT!TCOMP,TEORIA DA COMPUTAÇÃO,6,FEELT!AA/FEELT!AP2,,T
FAGEN!GP,GERENCIAMENTO DE PROJETOS,7,,,T
