Nome;Código;PER;CHT;CHP;CHD;CHE;TOT;FLX;OBR;OPT;A|B;EXT;FORM_BAS;FORM_HUM;FORM_TEC;FORM_CMP;CC_UO1;CC_SM2;CC_SAI3;CC_SD4;CC_SF5;CC_HW6;PREQ;CREQ;Elementos41;Níveis41;Elementos42;Níveis42;Disposições;Ementa;QEXTR
Cálculo Diferencial e Integral I;FAMAT31011;1;90;0;0;0;90;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Programação Script;FEELT!PS;1;30;30;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;;;Fundamentos de Programação|Fundamentos de Sistemas Computacionais|Estruturas de Dados; Algoritmos e Complexidade|Linguagens de Programação;Aplicação|Compreensão|Compreensão|Aplicação;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Pesquisa e Aprendizagem Independente|Colaboração e Trabalho em Equipe|Comunicação Oral e Apresentação;Compreensão|Compreensão|Aplicação|Aplicação|Aplicação;Autodirigido|Meticuloso|Inventivo;0
Geometria Analítica;FAMAT31021;1;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Introdução à Engenharia de Computação;FEELT31103;1;30;0;0;0;30;True;True;False;A;False;False;True;False;False;True;False;False;False;False;False;;;Questões Sociais e Prática Profissional;Compreensão;Colaboração e Trabalho em Equipe|Comunicação Oral e Apresentação|Perspectivas Éticas e Interculturais;Aplicação|Aplicação|Compreensão;Responsável|Colaborativo|Profissional;;0
Introdução à Prototipagem Eletrônica;FEELT!IPE;1;0;30;0;0;30;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;;;Circuitos e Eletrônica|Design Digital;Compreensão|Compreensão;Pesquisa e Aprendizagem Independente|Colaboração e Trabalho em Equipe|Resolução de Problemas e Solução de Erros|Comunicação Oral e Apresentação;Aplicação|Aplicação|Aplicação|Compreensão;Inventivo|Autodirigido|Proativo;;0
Lógica e Matemática Discreta para Computação;FEELT!LMD;1;45;0;0;0;45;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;;Fundamentos de Programação|Estruturas de Dados; Algoritmos e Complexidade;Compreensão|Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita;Aplicação|Aplicação|Compreensão|Compreensão;Meticuloso|Adaptável|Orientado por Propósito;0
Álgebra Linear;FAMAT31022;2;45;0;0;0;45;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31021;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Programação Procedimental;FEELT!PP;2;30;30;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!PS;;Fundamentos de Programação|Linguagens de Programação|Estruturas de Dados; Algoritmos e Complexidade;Aplicação|Aplicação|Aplicação;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Meticuloso|Inventivo|Adaptável;0
Cálculo Diferencial e Integral II;FAMAT31012;2;90;0;0;0;90;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31011;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Computação e Sociedade;FEELT!CS;2;30;0;0;0;30;False;False;False;A;False;False;True;False;False;True;False;False;False;False;False;;;Questões Sociais e Prática Profissional;Avaliação;Pensamento Analítico e Crítico|Perspectivas Éticas e Interculturais|Comunicação Escrita|Comunicação Oral e Apresentação;Avaliação|Análise|Aplicação|Aplicação;Responsável|Profissional|Orientado por Propósito;;0
Estrutura de Dados;FEELT!ED;3;60;0;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!PP;;Estruturas de Dados; Algoritmos e Complexidade|Fundamentos de Sistemas Computacionais|Fundamentos de Programação;Análise|Aplicação|Análise;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Análise|Aplicação;Meticuloso|Inventivo|Adaptável;0
Física Básica: Mecânica;INFIS39031;2;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31011;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Física Básica: Mecânica, Experimental de;INFIS39032;2;0;30;0;0;30;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;INFIS39031;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Sistemas Digitais;FEELT31409;2;30;0;0;0;30;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT!LMD;;Circuitos e Eletrônica|Design Digital;Compreensão|Compreensão;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;;0
Sistemas Digitais, Experimental de;FEELT31410;2;0;30;0;0;30;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;;FEELT31409;Circuitos e Eletrônica|Design Digital;Aplicação|Aplicação;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;;0
Arte da Programação II;FEELT!PP;3;45;15;0;0;60;False;False;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!PP;;Fundamentos de Programação|Linguagens de Programação|Fundamentos de Sistemas Computacionais;Aplicação|Aplicação|Compreensão;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Inventivo|Meticuloso|Autodirigido;;0
Cálculo Diferencial e Integral III;FAMAT31013;3;90;0;0;0;90;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31012;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Elementos de Sistemas Computacionais;FEELT!ESC;3;30;0;30;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT31409;;Design Digital|Circuitos e Eletrônica|Arquitetura e Organização de Computadores;Análise|Aplicação|Aplicação;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Meticuloso|Adaptável|Proativo;;0
Física Básica: Eletricidade e Magnetismo;INFIS39033;3;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;INFIS39031;;Circuitos e Eletrônica;Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Física Básica: Eletricidade e Magnetismo, Experimental de;INFIS39034;3;0;30;0;0;30;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;INFIS39033;Circuitos e Eletrônica;Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Metrologia;FEELT31204;2;30;30;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;True;;;Processamento de Sinais|Circuitos e Eletrônica;Compreensão|Compreensão;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Controle e Garantia de Qualidade;Aplicação|Aplicação|Aplicação;Meticuloso|Responsável|Orientado por Propósito;;0
