Nome;Código;PER;CHT;CHP;CHD;CHE;TOT;FLX;OBR;OPT;A|B;EXT;FORM_BAS;FORM_HUM;FORM_TEC;FORM_CMP;CC_UO1;CC_SM2;CC_SAI3;CC_SD4;CC_SF5;CC_HW6;PREQ;CREQ;Elementos41;Níveis41;Elementos42;Níveis42;Disposições;Ementa;QEXTR;DCN_base;DCN_ecp
Administração;FAGEN39901;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FAGEN39401 Empreendorismo e Inovação;0;-1;-1
Álgebra Linear;FAMAT31022;2;45;0;0;0;45;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31021;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;21/22;-1
Algoritmos e Estrutura de Dados I;FACOM31201;-1;45;15;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!ED Estrutura de Dados;0;-1;-1
Algoritmos e Estruturas de Dados II;FACOM31303;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!AA Análise de Algoritmos;0;-1;-1
Análise de Algoritmos;FEELT!AA;4;60;0;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!ED;;Estruturas de Dados;Algoritmos e Complexidade;Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Pesquisa e Aprendizagem Independente;Aplicação|Avaliação|Aplicação;Inventivo|Meticuloso|Orientado por Propósito;0;29/31/23;-1
Aprendizagem Profunda e Modelos Generativos;FEELT!APMG;7;30;15;0;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT!AMAQ;;Sistemas Inteligentes (IA);Análise;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Análise|Aplicação|Análise;Inventivo|Responsável|Orientado por Propósito;;0;6/34/7;-1
Aprendizagem de Máquina;FEELT!AMAQ;6;30;15;0;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FAMAT31032/FEELT!FIA;;Sistemas Inteligentes (IA);Análise;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Análise|Aplicação|Análise;Inventivo|Responsável|Orientado por Propósito;;0;6/25/34;-1
Arquitetura de Redes de Computadores;GBC056;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT31724 Redes de Comunicações I;0;-1;-1
Arquitetura de Redes TCP/IP;GBC066;-1;30;30;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT31831 Redes de Comunicações II;0;-1;-1
Arquitetura de Software Aplicada;FEELT!ASA;8;15;45;0;0;60;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT!ESOF/FEELT31724;;Fundamentos de Sistemas Computacionais|Estruturas de Dados;Algoritmos e Complexidade;Análise|Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Análise|Análise|Aplicação;Meticuloso|Adaptável|Inventivo;0;2/15/14;-1
Arquitetura e Organização de Computadores;FEELT!AOC;4;60;0;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT!ESC;;Arquitetura e Organização de Computadores|Design Digital|Circuitos e Eletrônica;Aplicação|Compreensão|Compreensão;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Análise|Análise;Adaptável|Meticuloso|Responsável;;0;38;-1
Arte da Programação II;FEELT!PP;3;45;15;0;0;60;False;False;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!PP;;Fundamentos de Programação|Linguagens de Programação|Fundamentos de Sistemas Computacionais;Aplicação|Aplicação|Compreensão;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Inventivo|Meticuloso|Autodirigido;;0;-1;-1
Atividades Acadêmicas Complementares;AAC;aac;-1;-1;-1;-1;90;True;True;False;A;False;False;False;False;True;False;False;False;False;False;False;;;;;;;;;0;-1;-1
Atividade de Conclusão de Curso;ACC;acc;-1;-1;-1;-1;300;True;True;False;A;False;False;False;True;False;False;False;False;False;False;False;*;;;;;;;;0;-1;-1
Atividades Curriculares de Extensão I;ACE1;4;0;0;0;90;90;True;False;False;A;True;False;True;False;False;False;False;False;False;False;False;;;;;;;;;0;42;-1
Atividades Curriculares de Extensão II;ACE2;5;0;0;0;90;90;True;False;False;A;True;False;True;False;False;False;False;False;False;False;False;ACE1;;;;;;;;0;42;-1
Atividades Curriculares de Extensão III;ACE3;6;0;0;0;75;75;True;False;False;A;True;False;True;False;False;False;False;False;False;False;False;ACE2;;;;;;;;0;42;-1
Atividades Curriculares de Extensão IV;ACE4;7;0;0;0;60;60;True;False;False;A;True;False;True;False;False;False;False;False;False;False;False;ACE3;;;;;;;;0;42;-1
Banco de Dados;FEELT!BD;4;15;45;0;0;60;True;True;False;A;False;False;False;True;False;False;True;False;False;False;False;FEELT!ED;;Gestão de Dados e Informação|Questões e Princípios de Segurança;Análise|Compreensão;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;;0;9/33;-1
Bioinformática;FACOM39042;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Cálculo Diferencial e Integral I;FAMAT31011;1;90;0;0;0;90;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;22;-1
Cálculo Diferencial e Integral II;FAMAT31012;2;90;0;0;0;90;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31011;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;22;-1
Cálculo Diferencial e Integral III;FAMAT31013;3;90;0;0;0;90;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31012;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;22;-1
Cálculo Numérico;FAMAT31032;5;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31013/FAMAT31022;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;22/34;-1
Ciência de Dados I;FACOM32602;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Ciência de Dados II;FACOM32701;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Ciências Econômicas;IERI39001;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;IERI39601 Engenharia Econômica;0;-1;-1
Ciências Econômicas;IEUFU39901;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;IERI39601 Engenharia Econômica;0;-1;-1
Ciências Sociais e Jurídicas;FADIR39901;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Circuitos Elétricos II;FEELT31403;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Circuitos Elétricos II, Experimental de;FEELT31404;-1;0;30;0;0;30;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Circuitos Elétricos I;FEELT31301;4;75;0;0;0;75;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;INFIS39033;;Circuitos e Eletrônica;Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;;0;-1;12/13
Circuitos Elétricos I, Experimental de;FEELT31302;4;0;15;0;0;15;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT31204;FEELT31301;Circuitos e Eletrônica;Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;;5/6;-1;12/13
Cloud Computing Architecture AWS;FEELT!CCAWS;-1;0;0;45;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Compiladores;FACOM39043;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;1;-1
Computação e Sociedade;FEELT!CS;2;30;0;0;0;30;False;False;False;A;False;False;True;False;False;True;False;False;False;False;False;;;Questões Sociais e Prática Profissional;Avaliação;Pensamento Analítico e Crítico|Perspectivas Éticas e Interculturais|Comunicação Escrita|Comunicação Oral e Apresentação;Avaliação|Análise|Aplicação|Aplicação;Responsável|Profissional|Orientado por Propósito;;0;-1;-1
Computação Evolutiva;FEELT!CEVO;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;FEELT!FIA;;;;;;;;1;-1;-1
Computação Evolutiva;GBC210;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Computação Gráfica;GBC204;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Computação Gráfica RV-RA;FEELT31721;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;FAMAT31022;;;;;;;;1;8/17;-1
Computação Quântica;FEELT!CQUA;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Construção de Compiladores;GBC071;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Contratos Inteligentes e Segurança Blockchain;FEELT39040O;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Criptografia;FACOM39044;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Data Warehouse;FACOM39049;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Desenvolvimento de MOOCs;FEELT39041;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Design Colaborativo;FEELT31623;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Direito e Legislação;FADIR39801;-1;30;0;0;0;30;False;False;True;;;;;;;;;;;;;;;;;;;;;2/4/5;-1;-1
Disciplinas Optativas;OPT;opt;-1;-1;-1;-1;90;True;False;True;A;False;False;False;False;True;False;False;False;False;False;False;;;;;;;;;0;-1;-1
Elementos de Sistemas Computacionais;FEELT!ESC;3;30;0;30;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT31409;;Design Digital|Circuitos e Eletrônica|Arquitetura e Organização de Computadores;Análise|Aplicação|Aplicação;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Meticuloso|Adaptável|Proativo;;0;38/37/1;10/0/2/1
Eletrônica Analógica I;FEELT31401;5;60;0;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT31301;;Circuitos e Eletrônica|Processamento de Sinais;Análise|Aplicação;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;;0;-1;11/2/12/8
Eletrônica Analógica I, Experimental de;FEELT31402;5;0;30;0;0;30;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;;FEELT31401;Circuitos e Eletrônica|Processamento de Sinais;Análise|Aplicação;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;;0;-1;11/2/12/8
Eletrônica Analógica II;FEELT32502;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;FEELT31401;;;;;;;;1;-1;-1
Eletrônica Analógica II, Experimental de;FEELT31502;-1;0;30;0;0;30;False;False;True;;;;;;;;;;;;;;FEELT32502;;;;;;;1;-1;-1
Empreendedorismo e Inovação;FAGEN39401;5;30;0;0;0;30;True;True;False;A;False;False;False;True;False;True;False;False;False;False;False;;;Gestão de Projetos;Aplicação;Organização e Planejamento de Projetos e Tarefas|Controle e Garantia de Qualidade|Priorização e Gestão de Múltiplas Tarefas|Pensamento Analítico e Crítico;Avaliação|Compreensão|Aplicação|Análise;Adaptável|Responsável|Orientado por Propósito;;0;41/46;-1
Engenharia de Contexto em IA Generativa;FEELT!ECIA;8;15;0;30;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT!APMG;;Sistemas Inteligentes (IA);Análise;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Análise|Aplicação|Análise;Inventivo|Responsável|Orientado por Propósito;;0;6/42/40/3;-1
Engenharia de Software;FEELT!ESOF;5;45;0;0;0;45;True;True;False;A;False;False;False;True;False;False;False;False;True;False;False;FEELT!BD/FEELT!POO;;Processos de Software|Modelagem e Análise de Software|Qualidade de Software;Verificação e Validação;Análise|Análise|Aplicação;Pensamento Analítico e Crítico|Organização e Planejamento de Projetos e Tarefas;Análise|Aplicação;Adaptável|Colaborativo|Orientado por Propósito;0;36/2;-1
Engenharia Econômica;IERI39601;8;30;0;0;0;30;True;True;False;A;False;False;False;True;False;True;False;False;False;False;False;;;Gestão de Projetos;Análise;Matemática e Estatística|Organização e Planejamento de Projetos e Tarefas;Aplicação|Avaliação;Adaptável|Orientado por Propósito|Responsável;;0;47/46;-1
Estatística;FAMAT31033;4;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;25;-1
Estrutura de Dados;FEELT!ED;3;60;0;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!PP;;Estruturas de Dados;Algoritmos e Complexidade|Fundamentos de Sistemas Computacionais|Fundamentos de Programação;Análise|Aplicação|Análise;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Análise|Aplicação;Meticuloso|Inventivo|Adaptável;0;31/33;-1
Explorações em Arquiteturas Computacionais [por tipo];FEELT!EAC;-1;0;45;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Explorações em Linguagens Computacionais [por tipo];FEELT!ELC;-1;30;0;15;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Física Básica: Eletricidade e Magnetismo;INFIS39033;3;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;INFIS39031;;Circuitos e Eletrônica;Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;22;9/14/13
Física Básica: Eletricidade e Magnetismo, Experimental de;INFIS39034;3;0;30;0;0;30;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;INFIS39033;Circuitos e Eletrônica;Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;22;9/14/13
Física Básica: Mecânica;INFIS39031;2;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31011;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;22;14
Física Básica: Mecânica, Experimental de;INFIS39032;2;0;30;0;0;30;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;INFIS39031;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;22;14
Física Básica: Oscilações, Ondas e Óptica;INFIS31402;4;60;0;0;0;60;False;False;True;A;False;True;False;False;False;False;False;False;False;False;True;INFIS39033;INFIS39056;Processamento de Sinais;Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;-1;-1
Física Básica: Oscilações, Ondas e Óptica, Experimental de;INFIS39056;4;0;30;0;0;30;False;False;True;A;False;True;False;False;False;False;False;False;False;False;True;;INFIS31402;Processamento de Sinais;Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;-1;-1
Fontes Renováveis não Convencionais - Técnicas e Aplicações;FEELT39047;-1;45;15;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Fundamentos da Inteligência Artificial;FEELT!FIA;5;30;15;0;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FAMAT31033;;Sistemas Inteligentes (IA);Análise;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Análise|Aplicação|Análise;Inventivo|Responsável|Orientado por Propósito;;0;6/28/33;-1
Geometria Analítica;FAMAT31021;1;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;22;-1
Gerenciamento de Banco de Dados;GBC053;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Gerenciamento de Projetos;FAGEN32502;-1;30;30;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FAGEN39401 Empreendorismo e Inovação;0;-1;-1
IA Aplicada à Cibersegurança;FEELT!IACS;8;15;0;30;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT!SEG/FEELT!APMG;;Sistemas Inteligentes (IA);Análise;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Análise|Aplicação|Análise;Inventivo|Responsável|Orientado por Propósito;;0;6/11/4;-1
Instalações Elétricas;FEELT31603;-1;30;0;0;0;30;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Inteligência Artificial;FACOM39050;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!FIA Fundamentos da Inteligência Artificial;0;-1;-1
Inteligência Artificial;GBC063;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!FIA Fundamentos da Inteligência Artificial;0;-1;-1
Inteligência Artificial Aplicada aos Negócios;GSI051;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Inteligência Artificial Aplicada aos Negócios;GBC209;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Inteligência Artificial, Ética e Sociedade;FEELT!IAES;3;30;0;0;0;30;True;True;False;A;False;False;True;False;False;True;False;False;False;False;False;;;Questões Sociais e Prática Profissional;Compreensão;Perspectivas Éticas e Interculturais|Pensamento Analítico e Crítico;Compreensão|Aplicação;Responsável|Meticuloso|Profissional;;2/4/5;6/40/42/43/45;-1
Inteligência Computacional;GBC073;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Interação Humano-Computador;GSI037;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Introdução à Engenharia de Computação;FEELT31103;1;30;0;0;0;30;True;True;False;A;False;False;True;False;False;True;False;False;False;False;False;;;Questões Sociais e Prática Profissional;Compreensão;Colaboração e Trabalho em Equipe|Comunicação Oral e Apresentação|Perspectivas Éticas e Interculturais;Aplicação|Aplicação|Compreensão;Responsável|Colaborativo|Profissional;;2/4/5/6;42/43/40/44/41/45;-1
Introdução à Prototipagem Eletrônica;FEELT!IPE;1;0;30;0;0;30;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;;;Circuitos e Eletrônica|Design Digital;Compreensão|Compreensão;Pesquisa e Aprendizagem Independente|Colaboração e Trabalho em Equipe|Resolução de Problemas e Solução de Erros|Comunicação Oral e Apresentação;Aplicação|Aplicação|Aplicação|Compreensão;Inventivo|Autodirigido|Proativo;;0;18/13;12/10/0/7
Língua Brasileira de Sinais - Libras I;LIBRAS01;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;1/3;-1;-1
